33000 ane;;;;;;;;
3000 ane;;;guerra olmecas;;;;;
1624 1612 1609;15-ene;nahua afromex;Tumulto en la Ciudad de México contra el virrey. Rebelión indígena- popular multitudinaria derrocó al virrey de Nueva España en la Ciudad de México.;méxico t 09015;9015;;;
1692;08-jun;nahua afromex;Tumulto popular en la Ciudad de México. Motín y rebelión masiva en la ciudad de México contra el virreinato y la reorganización del trabajo.;méxico t 09015;9015;;;
1697 1692;;nahua;Motín popular en la Ciudad de México;méxico t 09015;9015;;;
¿? 1762 ;;nahua ñañhu afromex;Rebeliones en Yautepec 16029, Guanajuato 11015, 21114 Puebla;morelos  ;17006;;;
;;;;guanajuato s.m. ;11015;;;
;;;;puebla ;21114;;;
;;;;izúcar ;21085;;;
1766- 1776 ;15-ago;nahua ñañhu;Motín y tumulto de mineros de Real del Monte y Pachuca paralizando las minas por la mejora de las condiciones de trabajo, el trato digno y reparto equitativo del partido.;hidalgo real del monte;13039;;;
;;;;pachuca ;13048;;;
1769;;indios ñahñu, Nahuas, Tepehuas y Totonacos ;Movimiento neoguadalupano en Tututepec Hidalgo;tutotepec  Hidalgo;13053;;;
¿? 1776 ;;nahua mest;Rebelión de Izúcar Puebla;izúcar puebla ;21085;;;
¿? 1799 ;;mest;Rebelión de los Machetes Pedro de la Portilla;;;;;
1810;;Matlatzincas, Ñañhu, Tlahuicas, Tacuates, Mazahuas, Náhuatl y mestizos en torno a la guerra de revolución de Independencia;;michoacán estado de méxico guerrero;;;;
1849;14-jun;nahua ñañhu;Levantamiento indígena Náhuatl y Ñañhu en ;Cuautla;17006;;;
;;;;Ixmiquilpam;13030;;;
1868;;;rebelión campesina chávez lópez;chalco ;15025;;;
1870;;mest ñañhu;Rebelión impulsada por comunistas en Hidalgo;pachuca  ;13048;;;
;;;;real del monte ;13039 13051;;;
;;;;;;;;
CENTRO -NORTE;;;;;;;;
1541, 1575, 1593 ;;chichimecas;Rebeliones Chichimecas ;Aguascalientes  ;10001;;;
1563-1568;;guamares chichimecas;Rebelión de los indios Guamares Huamares en o en torno a la Guerra Chichimeca;Pénjamo Guanajuato ;11023;;;
1624-1645 ;;guachichiles;Rebelión de Guachichiles en ;San Luis Potosí ;28;;;
1703;;jonaces chichimes;indios Jonaces y Ximpeces en ;Sierra Gorda de Querétaro ;22002 22009 22015;;;
1734-1735 ;;ñañhu;Rebelión campesina en   Otomí Ñañhú con Nicolás Martín.;San Felipe ;15030;;;
;;;;San Miguel el Grande ;15003;;;
1767;;mest chichimeca;Sublevación del indio Juan Cipriano en ;Guanajuato ;11015;;;
1776;;afromex mest chichimeca;Rebelión de trabajadores mineros en  tumulto de 3 mil mineros en  por el cobro de deudas y condiciones de trabajo.;Guanajuato ;11015;;;
1810;;;Conspiración de Querétaro;querétaro ;22014;;;
1810;;nahua afromex mest;Insurrección de campesinos, mineros, trabajadores, inicia en ;Dolores Hidalgo, Guanajuato ;11014;;;
1847;01-jun;ñañhu;Levantamiento indígena Ñañhu y campesino de la Sierra Gorda, Querétaro.;Sierra Gorda de Querétaro ;22002 22009 22015;;;
siglo XIX;;nahua;En el contra las haciendas y por la defensa de la tierra con Julio López, en en el ;Chalco ;15025;;;
SUR ;;;;Texcoco ;15099;;;
1523;;zapotecos mixe;Rebelión de Zapotecas y Mixes;valles centrales  ;20067;;;
;;;;ixtepeji ;20363;;;
1531;;yope;Rebelión de indios Yopes en Guerrero;acapulco ;12001;;;
;;;;tecpan ;12057;;;
;;;;zihuatanejo  ;12038;;;
;;;;cuajuiniculapa ;12023;;;
;;;; tlapa ;12066;;;
1545, ;;chatino;"** Otras rebeliones en el Sur; en la zona Chatina se registran en estas fechas.";juquila ;20364;;;
1547;;zapoteco;titiquipa ;miahuatlán  ;20059;;;
;;;;titiquipa- tamazulapa ;20540;;;
;;;; cuilapa ;20023;;;
1542- 1547  ;03-jun;zapoteco mixteco cuicateco;"Indios Zapotecas y Mixtecos de Titiquipa y Antequera Oaxaca; 1547 Rebelión indígena Zapoteca contra la ciudad de Oaxaca y Miahuatlán, por la sal y contra la imposición de dioses.*";titiquipa   ;20540;;;
;;;; antequera oaxaca ;20067;;;
;;;;miahuatlán;20059;;;
1550;;zapoteco;Otras rebeliones en Tehuantepec, Zaachila y el Valle. Ésta fue más general y se debió a que los ancianos caciques de algunos pueblos recordaron a sus antiguos dioses, especialmente Quetzalcóatl, cuyo regreso anunciaron para destruir a los españoles y librar a los zapotecos de la esclavitud así como para recuperar tierras.;valles centrales   ;20067;;;
;;;; tehuantepec ;20515;;;
;;;;zaachilla  ;20565;;;
;;;;zaapeche ;20115;;;
1660;21-mar;zapotecos;"Después de la muerte del representante de Tequisistlán, por azotes al no cumplir con los tributos, y cansados de tantos abusos, los indios se quejaron Con Don Juan, quien los ignoró y mandó azotar a algunos de los quejosos, hecho que desató la furia de hombres y mujeres que, al siguiente día, se sublevaron y prendieron fuego a las casas reales. Don Juan intentó huir hacia el convento, pero fue muerto a pedradas por la multitud enfurecida. El pueblo eligió a sus gobernantes y nombró a Marcos de Figueroa, descendiente directo del antiguo rey Cosijopi primer y único rey de Tehuantepec y el Istmo oaxaqueño, un año duró este gobierno indígena, antes de que los indios, a través de los frailes, entregaran el poder al oidor don Juan Francisco, quien les hizo creer que velaría por ellos, sin embargo este mandó a apresar a todos los líderes. Jerónimo Flores, quien fungió como alcalde de la república de indios de Tehuantepec, fue degollado y su cadáver partido en cuatro pedazos y puesto a la entrada de los caminos; otros, como Fabián Mendoza y Lázaro Mis, también fueron castigados.";tehuantepec  ;20515;;;
;;;;tequisistlán ;20052;;;
1660;;zapoteco;Rebelión de Ixtepec demanda historica que se remonta a las rebeliones en el Istmo;ixtepec 20005;;;;
1660;22 feb-25 may;zapoteco Mixes, Ikoots, Zoques y Chontales;"Insurrección de indios Zapotecos en Oaxaca. ; indios  por la restitución de territorios y el reparto de tierras y salineras.";En Tehuantepec 20515, Santa María Petapa 20513, San Blas Atempa 20124 Ixtepeji 20363, Nejapa 20064, Villalta 20156, Oaxaca 20067;;;;
¿? 1667 ;;zapoteco;Nueva rebelión en Tehuantepec Oaxaca;valles centrales ;20067;;;
1681;;zapoteco;Sublevación de indios en los Valles de Oaxaca;valles centrales   ;20067;;;
;;;;atzompa;20399;;;
;;;;xoxocotlán;20385;;;
1715;2-3 SEP ;zapoteco;Rebelión en Tehuantepec, presencia femenil a través de la india Teresa. Otras mujeres en 1866 Petrona Esteva Tona Taati, Rosalía y Simona Robles, Paulina Vázquez y María Tachu.;tehuantepec ;20515;;;
1774;;ikoot zapoteco;Rebelión de  Ikoots en San Felipe, San Mateo y San Francisco, por tinte, tierras, impuestos, castigos, intervención de Zapotecos por la autonomía.;san mateo ;20248;;;
;;;;santa maría ;20441;;;
1785;;mixteco;Rebelión de indios Mixtecos en Achiautla, en la Mixteca alta tlaxiaco;Achiautla ;20258;;;
Se presentan 214 conflictos en Oaxaca entre 1770 y 1810;;;;;;;;
I.- Mixteca alta, baja: 1843/1845/1847-1863//1848-1849/1855-1856/1857;;mixteco;Procesos diferenciados y unitarios ¿?;;;;;
II.- Istmo, salineras, impuestos, autonomía: 1834/1843/1842-1845/1853/1870/1869/1881/1882-1885;;;;;;;;
¿?;;zapoteco;"Albino Jiménez (""Binu Gada"") Istmo";juchitán ;20043;;;
1715,;;zapoteco;¿? Istmo;;;;;
1827;;zapoteco;Rebelión en Ixtaltepec, por las tierras y la soberanía municipal.;ixtaltepec ;20005;;;
1834;;zoques chontales ikoot zapoteco;Rebelión de Zoques, Chontales, Ikoots,  Zapotecas;chimalapas ;20407;;;
;;;;huamelula ;20307;;;
;;;;salina cruz ;20079;;;
;;;;tehuantepec ;20515;;;
;;;;juchitán ;20043;;;
;;;;san mateo ;20248;;;
1834;;zapoteco;Levantamiento armado de los zapotecos de Juchitán, encabezados por José Gregorio Meléndez o Che Gorio Melendre en Tehuantepec- Juchitán por Autonomia;juchitán  ;20043;;;
;;;;tehuantepec ;20515;;;
1850;;zapoteco;Batalla e incendio de Juchitán entre tropas federales y fuerzas zapotecas por el control político y militar del territorio.;juchitán ;20043;;;
1857;;mixteco;Gran rebelión indígena de la Mixteca, motivos religiosos y de tierras tomando la ciudad Matamoros toma Huajuapan.;mixteca huajuapan ;20039;;;
1870;;zapoteco;Rebelión zapoteca de Juchitán  por la defensa de las salineras y recursos naturales de los pueblos. Istmo;juchitán;20043;;;
1878;;zapoteco;Tehuantepec, defensa de la autonomía comunal;tehuantepec ;20515;;;
1880- 1881 ;17-abr;zapoteco zoque;Rebelión de Zapotecos y Zoques en Juchitán, Tehuantepec y Chimalapas por La defensa de la tierra y las salinas.;juchitán  ;20043;;;
;;;;chimalapas ;20407;;;
;;;;tehuantepec  ;20515;;;
1880;;zapoteco;"Miguel Petriz y ""Mexu Chele"" Istmo";juchitán ;20043;;;
1911;;zapoteco;Che Gomez. Istmo;juchitán  ;20043;;;
;;;;salina cruz ;20079;;;
III.- Costa-Juquila: 1875/1879;;chatino;Chatino (rebelión de pantalón y zapatos);juquila ;20364;;;
1876-1896;06-abr;chatino;"Rebelión de Chatinos de  conocida como Guerra de los Pantalones**. Fusilamientos y destierros; carta y correspondencia a los indios Cruzoob de Quintana Roo pacificados hasta 1950";San Juan Quiahije ;20213;;;
;;;;Tepenixtlahuaca ;20543;;;
;;;;Panixtlahuaca ;20272;;;
;;;;Nopala ;20526;;;
;;;;Juquila ;20364;;;
;;;;Miahuatlán ;20059;;;
;;;;Santa Catarina ;20364;;;
IV.- Costa de Pochutla;;;;;;;;
1881;;chatino zapoteco;Motín en Pochutla, derivando del proceso Chatino, abarcó la crisis del café y planteó la recuperación del territorio.;pochutla ;20324;;;
V.- Valles 1864/1896;;;;;;;;
;;;;;;;;
1813;25-nov;mixteco cuicateco zapoteco afromex;Morelos toma la ciudad de Oaxaca con 1,000 honderos, 50 oficiales y 500 voluntarios;oaxaca cuicatlán ;20177;;;
1813;;afro cuicateco;valerio trujano libera haciendas en la cañada de cuicatlán;cuicatlán  ;20177;;;
;;;;valerio trujano ;20558;;;
1843 y 1845  ;;triqui;Estalló una sublevación de los Triquis en Copala Oaxaca.;san juan copala ;20029;;;
1849;;nahua mixteco tlapaneco;Levantamiento  indígena en  Chilapa en Guerrero al mando de Domingo Santiago, originario del pueblo de Huayacantenango. ;chilapa  ;12028;;;
;;;;huayacatenango ;12079;;;
1842;;nahua mixteco tlapaneco;Rebelión de los indios de Quechultenango y otros pueblos vecinos en marzo de 1842. El 30 de noviembre de 1843 cayó en combate Dionisio Arriaga, comandante de los indios rebeldes.;quechultenango  ;12051;;;
;;;;chilapa ;12028;;;
1842-1846;;nahua mixteco tlapaneco amuzgo;Las rebeliones indias del sur de México entre 1842 y 1846 en el territorio que constituiría el estado de Guerrero a partir de 1849 en particular en Chilapa y Tlapa con  Nahuas, Mixtecos, Tlapanecos y Amuzgos. ;chilapa ;12028;;;
;;;; tlapa ;12066;;;
1884;;ojiteco mazateco chinanteco cuicateco;Rebelión de Ojitecos en Ojitlán Oaxaca en la Cañada de Cuicatlán por la recuperación de tierras y territorios, aplastada por una  feroz y grave represión en el poblado y el camino a Tuxtepec.;Ojitlán   ;20232;;;
;;;;tuxtepec ;20184;;;
1891;;nahua mixteco tlapaneco amuzgo;"Rebelión contra la política de las inversiones extranjeras porfiristas, en la zona central de la entidad suriana se encontraban ligadas las poblaciones de . *Otras rebeliones en el Sur; Guerrero: ";Colotlipa   ;12051;;;
;;;;Mochitlán ;12044;;;
;;;;Chilapa ;12028;;;
;;;;Tixtla ;12061;;;
;;;;Chilpancingo ;12029;;;
;;;;Zumpango del Río ;12075;;;
;;;;Chalma ;15052;;;
1895;;mazateco chinanteco;Rebelión de indios Mazatecos en Tuxtepec Oaxaca por la recuperación de tierras.;tuxtepec ;20184;;;
1896;5 de febrero;zapoteco mixteco cuicateco;"En la Sierra y Valles Centrales. Levantamiento zapoteco en . Contra los impuestos y por las tierras, derivó en sendas movilizaciones y represiones. Al mismo tiempo en las haciendas de Ixtlán,  Zaachila y  San Juan, existe una carta de Zapata que refiere a los hechos; la rebelión se extendió en Jamiltepec, Quiahije, Panixtlahuaca y Minas; Amoltepec (Zimatlán, Nochistlán y Tlaxiaco)";Zimatlán ;20570;;;
;;;;Zaachila ;20565;;;
;;;;Santa Annna Tlapacoya;20353;;;
;;;;San Pedro Huixtepec ;20295;;;
;;;;La Trinidad ;20555;;;
;;;;La Ciénega ;20013;;;
;;;;Ayoquezco;20398;;;
;;;;El Trapiche ;20542;;;
;;;;Santa Cruz ;20241;;;
;;;;Tlacochahuaya ;20550;;;
;;;;Teitipac ;20349 2005120219;;;
;;;;Tlacolula ;20551;;;
;;;;Cuilapan ;20023;;;
;;;;Roaloó ;20555;;;
;;;;Zaagache ;20360;;;
;;;;Santa Inés Yacechi ;20145;;;
;;;;San Pablo Villa Mitla ;20298;;;
;;;;;;;;
1896 ¿?;;afromex;Pueblos Afromexicanos de Oaxaca participantes en las rebeliones del siglo XIX. ;"Zapoalta, , Soto, Maguey, , Las Estancias; , , , , Poza Verde, La Yunta, Huazolotitlán El Pachoco y la Jurisdicción de  ; De  Jamiltepec La Boquilla, Río Verde, Espiga Verde, Miniché, La Huichicata, Piedra Blanca, Los Limos .";;;;
;;;;Santo Domingo Armenta ;20507;;;
;;;;Llano Grande ;20474;;;
;;;;Calzada ;20482;;;
;;;;Coyantes ;20467;;;
;;;;Coyantillo ;20285;;;
;;;;Chico Ometepec ;12046;;;
;;;;Huazaolotlán ;20414;;;
;;;;Jamiltepec;20467;;;
OCCIDENTE;;;;;;;;
1537;;;Levantamiento Cacique Guaxicar en ;Guaxacatlán;14052;;;
;;;;Xocotlán;14038;;;
;;;;Ostotipaquillo;18040;;;
1539;;guaynamota;Rebelión indios Huaynamota y Huaristemba;nayarit ;18017;;;
1532;;caxcanes;levantamiento teule chichimeca;tepic    ;18017;;;
;;;;ahuacatlán ;18002;;;
;;;;;14062;;;
;;;;chiametla;14120;;;
1538;;caxcan cora;coaxicori preludio mixton empeñolarse fortificarse en algún cerro remontados;xochitepec xocotlán   tepic    ;18017;;;
;;;;hostotipaquillo ;18040;;;
;;;;ahuacatlán ;18002;;;
;;;;uitlán hueli colotlán ;14025;;;
;;;;tepeque suchipila- tepetixtaque ;32034;;;
;;;;peñol  tiguex;32045;;;
;;;;xalpa ;32019;;;
;;;;teocaltiche ;14091;;;
1540, 1541, 1542 a 1551;28-sep;Tepehuanes, Tepeques, Tecuexes, Cocas, Otomíes, Tecos, Huachichiles, Tochos, Zacatecos, Caxcanes ;"Sesenta mil Caxcanes al mando de Tenamaxtle sitiaron la antigua Guadalajara (Nochistlán). Tepehuanes, Tepeques, Tecuexes, Cocas, Otomíes, Tecos, Huachichiles, Tochos, Zacatecos, Caxcanes Tras cuatro días de sitio, se abandona la ciudad. Se obliga al cambio de localización geográfica de la ciudad de Guadalajara. Conocida como la Guerra del Mixtón (gato)tito varios combates y ""que también regresen a sus tierras en castilla pues estas son nuestras""";se alzó la tierra, inicia en taxicoringa dgo,  teocaltiche apozol etzatlán chapala xalpa coyna- tototlán  ;14036;;;
;;;;nochistlán  zac 1 ;32034;;;
;;;;tonalá  2;14101;;;
;;;;tlacotán  3;14045;;;
;;;;atemajac  4;32034;;;
;;;;tototlán;14005;;;
;;;;tepeque tlaltenango juchipila ;32023;;;
;;;;nochistlán ;32034;;;
;;;;xalpa ;32019;;;
;;;;tepatitlán;14093;;;
;;;;chapala;14030;;;
;;;;guadalajara;14039;;;
1545;;caxcan;sublevaciones en toda la zona;nayarit   ;18009 18017;;;
;;;;colima;6008;;;
;;;;;14027;;;
;;;;jalisco;14097;;;
;;;;;14050;;;
;;;;zacatecas;32023;;;
1542;;caxcan;Rebelión de indios Caxcanes desde Nayarit a Zacatecas;nayarit ;18009;;;
;;;;;18017;;;
;;;;;14030;;;
;;;;zacatecas;14053;;;
1570;;guachichil;Rebelión de los Guachichiles en Zacatecas;zacatecas;32038;;;
1550;;zacatecos guachichiles guamares;Ataques de Zacatecos, Guachichiles y Guamares;zacatecas ;14078;;;
;;;;;14091;;;
;;;;;14046;;;
;;;;;14093;;;
;;;;nuevo león;19017;;;
1561;;zacatecos guachichiles;Rebelión de Zacatecos y Guachichiles;zacatecas;32048;;;
1584;;cora guachichil guaynamota;Sublevación de indios de Nueva Galicia;tepic;18017;;;
1592;;wirrárikas zacatecos;Rebeliones de Wirrárikas y Zacatecos en ;San Andrés ;32017;;;
;;;;;32051;;;
;;;;San Luis Potosí;24028;;;
1600-1601 ;;wirrárika cora;Sublevación en Nueva Galicia;;18006;;;
¿? 1690 ;;cora;fines del siglo xvii  Rebelión de Coras  Nayaritas;tepic;18017;;;
1702;;cora huachichil;Rebeliones de los indios de ;Colotlán;14025;;;
;;;;San Andrés;18014;;;
;;;;;;;;
;;;;Santa Catarina;18013;;;
;;;;San Sebastián;14080;;;
1722 y 1767 ;;cora;Rebelión de los Cora de Nayarit;tepic;18017;;;
1730;;tecualmes;Indios Tecualmes en Nayarit;tepic;18017;;;
1767;;chichimecas purépechas;Motines contra la expulsión de jesuitas en ;Valladolid;16053;;;
;;;;Uruapan;16102;;;
;;;;Páztcuaro;16066;;;
;;;;Guanajuato;11002;;;
;;;;San Luis de la Paz;11033;;;
;;;;San Luis Potosí  ;24028;;;
1801;05-ene;Rarámuris, Yumas, Mayos, Yaquis, Wirrárikas y Coras ;Levantamiento de pueblos Rarámuris, Yumas, Mayos, Yaquis, Wirrárikas y Coras en torno a Tepic Nayarit conocida como rebelión del indio Mariano. **;tepic;18017;;;
1809;;;Conspiración de Valladolid preludio de la revolución de independencia.;morelia;16053;;;
1855 a 1881. ;;wirrárikas;En Nayarit extenso y largo movimiento de los Wirrárikas, encabezado por Manuel Lozada, conocido como El Tigre de Álica de, el movimiento a base de guerrillas llegó a dominar todo el territorio de Nayarit, parte de Jalisco, Zacatecas y el Sur de Sinaloa.  Llegó a tener un ejército de once mil hombres dividido en tres secciones;nayarit  ;18009;;;
;;;;jalisco;14124;;;
;;;;sinaloa;18019;;;
;;;;;14120;;;
NORTE;;;;;;;;
1575;;guachichiles;Rebelión de Guachichiles en Santiago de Saltillo;saltillo ;5030;;;
1582;;chichimecas;Rebelión de Chichimecas en Saltillo;saltillo ;5030;;;
1586-1587 ;;guachichiles pachos;Rebelión de Guachichiles y Pachos en Saltillo;saltillo ;5030;;;
1621;;tobosos;Rebelión de los Tobosos en Coahuila;coahuila;5030;;;
1624;;guachichiles;;;24020;;;
1644- 1645 ;;Tobosos, Cabezas, Salineros, Mamites, Julimes, Conchos, Colorados;Siete Naciones Tobosos, Cabezas, Salineros, Mamites, Julimes, Conchos, Colorados;phoenix arizona;33°31?42?N 112°04?35?O;;;
1645;;salineros pimas tobosos;Rebelión de los indios Salineros en el Tizonazo;tizonazo;10011;;;
1645;25-mar;Conchos, Coahuila, Tobosos, Salineros, Tepehuanes, Xiximes, Acaxées, Conejeros, Sobas, Conexes, Ococlomes, Cocoyames, Mamites, Julimes, Conchos y Colorados;Rebelión de indios de la misión de San Francisco de Conchos, Coahuila, Tobosos, Salineros, Tepehuanes, Xiximes, Acaxées, Conejeros, Sobas, Conexes, Ococlomes, Cocoyames, Mamites, Julimes, Conchos y Colorados.*;tobosos conchos;5030;;;
;;;;;5023;;;
1652. .;02-mar;rarámuri Jocomes,  Janos,  Sumas, Mansos  y  Apaches;Tomóchic .Gabriel Teporame,  indio  Rarámuri,  convoca a Jocomes,  Janos,  Sumas, Mansos  y  Apaches, a  exterminar  a  todos  los blancos del territorio tarahumara, sean colonos, frailes o soldados;tomochic;8031;;;
1694;;jocome jano;Rebelión de los indios Jocome y Janos confederados con los Apaches  ;frontera norte;8035;;;
1695;;Conchos, Sobas, Janos, Sumas, Chinarras, Mansos, Jocomes y Pimas;Rebelión de los indios Conchos, Sobas, Janos, Sumas, Chinarras, Mansos, Jocomes y Pimas;tobosos conchos;8035;;;
;;;;;8037;;;
;;;;;8002;;;
;;;;;8015;;;
;;;;;8019;;;
;;;;;8038;;;
;;;;;8011;;;
1680-1696 ;;Jumanos, keres, Jémez, Taguas, Tanos ;Rebelión de los Jumanos, keres, Jémez, Taguas, Tanos y otros en Nuevo México;nuevo méxico;8058;;;
;;;;;80005;;;
1680;;pueblo;Rebelión de los indios Pueblo en Nuevo México;nuevo méxico;35°31?N 105°59?O;;;
1680-1696 ;10-ago;pueblo, Jemes, Pecos, Piros, Tompiros, Teguas, Janos, Zuñis, Moquis, Tanos;"Popé, Luis Tupatu y Antonio Malacate Indios Pueblo en Nuevo México;  Jemes, Pecos, Piros, Tompiros, Teguas, Janos, Zuñis, Moquis, Tanos. Rebelión triunfante. Revueltas y motines en 1632 1639 1644 1650";san juan isleta santa fé  ácoma zuñi nuevo méxico;8035;;;
1684-1685 ;;Sumas, Janos, Jocomes, Mansos, Conchos;Rebeliones de indios Sumas, Janos, Jocomes, Mansos, Conchos;tobosos conchos;8035;;;
;;;;;8037;;;
;;;;;8002;;;
;;;;;8015;;;
;;;;;8019;;;
;;;;;8038;;;
;;;;;8011;;;
;;;;;8058;;;
1689-1690 ;;Janos, Jocomes, Sumas, Chinarras, Rarámuris, Conchos;Rebelión de indios Janos, Jocomes, Sumas, Chinarras, Rarámuris, Conchos;tobosos conchos;8035;;;
1696-1698 ;; Jocomes y Janos apaches;Rebelión de los Jocomes y Janos confederados con los Apaches;frontera norte;8035;;;
¿? 1759 ;;apaches comanches;Insurrección de indios Apaches y Comanches;frontera norte;;;;
1770;;sububapas;Alzamiento de los indios Sububapas;sonora;;;;
1774;;apache;Ataque de Apaches al presidio de Tubac;frontera norte tubac;;;;
1916;09-mar;;Ataque villista a Columbus, Texas, EU.;;;;;
NOROCCIDENTE;;mayo tehueco;Rebelión de indios en ;la villa de San Jerónimo de los Corazones en Sinaloa;26066;;;
¿? 1537 ;;mayo acaxees xiximes;Insurrección de indígenas en Sinaloa;sur  y centro de sinaloa;25010;;;
¿? 1538 ;;xixime;Sublevación de indios del río Fuerte Sinaloa;río fuerte;25010;;;
¿? 1570 ;;zuaques;Nueva rebelión de los indios Zuaques;sinaloa;25010;;;
1585;;acaxeés;Insurrección de los indios Acaxées en minas de Topia en Durango y en Zacatecas;topia ;10037;;;
1592;;acaxeés;durango;topia;10037;;;
1590- 1591  -1601;;tehuecos;Rebelión de los Tehuecos en Sinaloa;centro de sinaloa;25010;;;
1597;;guasaves;Rebelión de los indios Guasaves de Bavonia y Matapán en Sinaloa;bavonía y maztlán;25012;;;
1598;;zuaques tehuecos ocoronis;Guerra contra Zuaques, Tehuecos y Ocoronis en Sinaloa;centro sinaloa;10032;;;
;;;;;25010;;;
;;;;;25017;;;
;;;;;25016;;;
¿? 1600  ;;guasaves;Nueva rebelión de Guasaves en Sinaloa;norte sinaloa guasave;25011;;;
1600;;acaxeés sobaibas;Rebelión de indios Acaxées y Sobaibas en Durango y Sinaloa;durango;10034;;;
;;;;sinaloa ;25005;;;
1601- 1604 ;;tepehuanes rarámuris;Rebelión de Tepehuanes y Rarámuris;sur de chihuahua;10035;;;
;;;;;8029;;;
;;;;;8007;;;
1606;;cuamacuanes;Rebelión de indios Cuamacuanes;;8027;;;
1607;;yaqui;Insurrección de indios Yaqui con jefes Lautaro y Babilonio;yaqui;26018;;;
1609-1610;;xixime;Sublevación de indios Xiximes en Nueva Vizcaya;sinaloa;;;;
¿? 1610 ;;tehuecos;Rebelión de indios Tehuecos en Sinaloa;centro sinaloa;25010;;;
1613;;tepehuanes rarámuris;Rebelión de indios Tepehuanes en Topia;topia;10037;;;
1616;;pimas nebomes;Levantamiento de indios Nebomes (Pimas bajos) en Sonora;sonora;;;;
¿? 1616 ;;guasaves;Nueva rebelión de indios Guasaves en Sinaloa;guasave;25011;;;
¿? 1616 ;;tepehuana;Rebelión Tepehuana en Durango;sur de durango;10035;;;
1616;21-nov;tepehuanes rarámuris;Rebelión de Tepehuanes y Rarámuris;sur de chihuahua;10035;;;
1616-1617 ;;tepehuanes xiximes;Indios Tepehuanes y Xiximes en Durango;sur de durango;10035;;;
;;;;;10001;;;
1616-1618 ;;tepehuanes;Rebelión de Tepehuanes ;;10035;;;
1621;;guasave;Rebelión del cacique Tzo en Sinaloa;sinaloa;10005;;;
1625;;pimas nebomes ;Rebelión de los Nevomes y otras tribus en Sonora;sur de sonora;8049;;;
1629;;tepehuanes;Rebelión de Tepehuanes;;10035;;;
1632-1638 ;;guasaparis guasave;Insurrección de Guasaparis en; el noreste de Sinaloa y en Chihuahua;8030;;;
;;;;;25011;;;
1632;;conchos;Rebelión de los Conchos;conchos;8027;;;
;;;;;8058;;;
